"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"U1";"ETSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3x4.2mm";1;"LM3424";;;
2;"J8";"TestPoint_Pad_D2.0mm";1;"–";;;
3;"J7";"TestPoint_Pad_D2.0mm";1;"+";;;
4;"J6,J5";"TestPoint_Pad_D2.0mm";2;"NTC";;;
5;"J4";"TestPoint_Pad_D2.0mm";1;"GND";;;
6;"J3";"TestPoint_Pad_D2.0mm";1;"SYNC";;;
7;"J2";"TestPoint_Pad_D2.0mm";1;"VIN";;;
8;"J1";"TestPoint_Pad_D2.0mm";1;"PWM";;;
9;"R19,R14,R1";"R_0603_1608Metric";3;"0";;;
10;"H3,H2,H1";"MountingHole_3.2mm_M3";3;"M3";;;
11;"R18";"R_0603_1608Metric";1;"150";;;
12;"C18,C17";"C_0603_1608Metric";2;"100p";;;
13;"L1";"L_12x12mm_H8mm";1;"MSS1210-104KE";;;
14;"C14";"C_2220_5650Metric";1;"COUT";;;
15;"C13,C12";"C_1210_3225Metric";2;"COUT";;;
16;"C11,C16,C8,C5";"C_0603_1608Metric";4;"100n";;;
17;"C3,C2";"C_2220_5650Metric";2;"CIN";;;
18;"C1";"C_1210_3225Metric";1;"CIN";;;
19;"R17,R3";"R_0603_1608Metric";2;"1k8";;;
20;"R16";"R_0603_1608Metric";1;"120k";;;
21;"R15";"R_0805_2012Metric";1;"100m 1W";;;
22;"R13";"R_0805_2012Metric";1;"60m 1W";;;
23;"R12,R8,R7,R4";"R_0603_1608Metric";4;"15k";;;
24;"R11,R2";"R_0603_1608Metric";2;"10k";;;
25;"R10,R9";"R_0603_1608Metric";2;"1k|470";;;
26;"R6,R5";"R_0603_1608Metric";2;"4k7";;;
27;"Q3,Q2";"LFPAK56";2;"PSMN025-80YLX";;;
28;"Q1";"SOT-23";1;"2N7002";;;
29;"D1";"D_SMA";1;"VSSAF5M10-M3/H (DO-221AC)";;;
30;"C15";"C_0603_1608Metric";1;"47p";;;
31;"C10";"C_0603_1608Metric";1;"DNP";;;
32;"C9";"C_0805_2012Metric";1;"2µ2 X7R 16V 0805";;;
33;"C7,C6";"C_0603_1608Metric";2;"270n";;;
34;"C4";"CP_Elec_10x10.5";1;"CIN";;;
